Genotype;AUC;TSW;MGT;T50;UNI;GR;GR36;GR42;FG;IS;VI;ES
NAVIG_105;5383;3.92;42.725;41.15;16.25;99;33;56;25;0.072551708;1.451034167;0.195722152
NAVIG_108;4745;4.07;48.225;46.55;24.15;97;17;39;26;0.079768239;1.595364783;0.169241257
NAVIG_109;5005;3.55;45.625;42.95;23.75;97;30;53;27.5;0.076608091;1.532161818;0.162638753
NAVIG_110;3171;4.37;56.175;53.66666667;22;73;10;20;32.5;0.08744387;1.748877391;0.160884235
NAVIG_111;4909;5.03;46.45;42.5;19.675;97;30;44;27;0.1634435;3.26887;0.152726261
NAVIG_113;5128;4.13;45.725;43.2;18.75;100;28;47;25;0.08296779;1.65935579;0.153135153
NAVIG_114;5001;3.52;44.15;40.575;23.3;95;36;55;24.5;0.089976405;1.799528095;0.17729302
NAVIG_115;5191;4.61;43.55;43.25;19.625;97;33;51;23.5;0.106103068;2.122061364;0.162968917
NAVIG_116;4369;4.9;52.2;51.675;23.325;97;14;28;28;0.126827705;2.536554091;0.161417775
NAVIG_117;4353;4.89;49.925;50.675;18.96666667;91;24;37;24.5;0.075939688;1.51879375;0.170698287
NAVIG_118;4703;3.74;47.45;47.8;25.925;95;29;37;23.5;0.098108;1.96216;0.170003459
NAVIG_120;3844;5.24;55.475;55.775;27.675;92;7;16;30;0.1412875;2.82575;0.135870242
NAVIG_124;1902;3.86;56.3;59.75;NA;56;7;11;33.33333333;0.0701905;1.40381;0.168790075
NAVIG_125;5202;4.57;43.95;42.6;15.675;98;28;55;23.5;0.126661729;2.533234583;0.168886033
NAVIG_126;3544;4.17;50.95;59.025;19.5;76;12;24;26.5;0.093533;1.87066;0.171496415
NAVIG_127;2902;4.57;64.05;67.625;22.5;86;3;9;33;0.06664575;1.332915;0.131768007
NAVIG_128;5329;3.23;40.9;37.775;16.5;95;39;65;29.5;0.1106025;2.21205;0.200334147
NAVIG_129;2940;5.11;60.1;62.925;21.65;78;2;3;32.5;0.1221495;2.44299;0.104741236
NAVIG_131;558;2.57;62.8;NA;NA;16;0;1;48;0.054156587;1.083131739;0.164607813
NAVIG_133;5365;4.27;42.85;40.725;15.6;99;33;61;35.5;0.1531405;3.06281;0.170070667
NAVIG_134;2434;4.28;63.5;67.16666667;26;70;3;10;33.5;0.105132;2.10264;0.130167953
NAVIG_135;3647;4.17;56.475;57.475;24.875;89;7;12;37.5;0.112144348;2.242886957;0.118571135
NAVIG_136;3295;4.09;60.05;53.16666667;25.33333333;83;8;18;31.5;0.099192174;1.983843478;0.111606808
NAVIG_137;3373;3.31;56.35;57.575;37.33333333;83;9;18;40.5;0.093097;1.86194;0.209173815
NAVIG_138;4669;4.4;48.175;47;19.425;95;21;41;30;0.107421;2.14842;0.170064719
NAVIG_139;2380;5.54;63.4;60.1;30.5;68;6;14;32.5;0.137879;2.75758;0.171551543
NAVIG_142;1688;6.25;64.4;64.4;40;50;3;6;53.5;0.099877708;1.997554167;0.12652482
NAVIG_143;4377;5.05;46.825;46.075;26.5;87;18;38;32.5;0.1553205;3.10641;0.207979785
NAVIG_144;3206;4.48;57.225;62.625;39.15;80;11;19;26;0.094752042;1.895040833;0.149800574
NAVIG_145;3149;3.76;57.55;66.375;26;77;11;16;32.5;0.1103095;2.20619;0.167414112
NAVIG_146;4318;3.59;48.425;47.65;23.33333333;88;21;42;30.5;0.1186455;2.37291;0.164754897
NAVIG_149;4687;3.74;44.2;42.575;23.075;89;26;48;27;0.1220185;2.44037;0.149987983
NAVIG_151;5001;5.93;43.175;44.075;11.53333333;91;32;59;25;0.1270215;2.54043;0.130316199
NAVIG_152;4738;5.84;48.175;47.05;21.175;96;19;40;28;0.133625;2.6725;0.156135122
NAVIG_153;3358;4.85;61.225;62.65;20.33333333;92;5;10;26.5;0.063554664;1.271093271;0.137088183
NAVIG_154;3454;4.05;53.125;56.175;29;78;11;21;32.5;0.095234;1.90468;0.161071623
